Dicom IDs,Head_shape,Acceleration,coil_type,Tongue,Velum,Velopharynx,Oropharynx,Hypopharynx,Trachea,Overall quality,Rater
78,Small,SI_3,Head,4,4,4,4,2,1,3,junjie
85,Small,SI_4,Head,3,4,4,2,1,1,2,junjie
74,Small,AP_2,Head-neck,4,4,4,4,4,4,4,junjie
89,Small,AP_3,Head-neck,3,4,4,2,3,2,2,junjie
83,Small,AP_4,Head-neck,2,2,2,1,1,3,2,junjie
86,Small,SI_2,Head-neck,3,4,4,4,3,4,4,junjie
72,Small,SI_3,Head-neck,4,4,4,4,2,1,2,junjie
71,Small,SI_4,Head-neck,4,4,4,3,1,1,2,junjie
95,Small,2x2,Airway,3,4,4,4,3,4,4,junjie
110,Small,2x3,Airway,3,4,4,4,3,3,3,junjie
103,Small,3x2,Airway,3,4,4,4,3,2,3,junjie
111,Small,4x2,Airway,3,4,4,3,2,3,3,junjie
96,Small,2x2,Head,4,4,4,3,3,3,3,junjie
125,Small,2x3,Head,2,4,4,3,3,2,3,junjie
126,Small,3x2,Head,4,4,4,3,2,1,2,junjie
98,Small,4x2,Head,2,4,3,1,1,1,1,junjie
115,Small,2x2,Head-neck,4,4,4,4,3,3,3,junjie
127,Small,2x3,Head-neck,3,4,4,4,3,2,3,junjie
106,Small,3x2,Head-neck,4,4,4,4,1,1,2,junjie
123,Small,4x2,Head-neck,3,3,3,2,1,1,1,junjie
